Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_EndToEnd,Edge Chromium 136.0.3240.76,,,20-05-2025 03:16:43,20-05-2025 03:24:42,7m - 58.844s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginMahasiswa,Edge Chromium 136.0.3240.76,Logs in as a student user.,,20-05-2025 03:16:46,20-05-2025 03:17:32,45.990s,PASSED
"DATA BINDING - {""(Default) Role"":""Mahasiswa"",""(Default) Email"":""mahasiswa@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:16:48,20-05-2025 03:16:58,10.145s,PASSED
navigateToUrl(URL_Test_Env),Edge Chromium 136.0.3240.76,,,20-05-2025 03:16:58,20-05-2025 03:17:01,3.762s,PASSED
maximizeWindow(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:01,20-05-2025 03:17:02,0.467s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:02,20-05-2025 03:17:04,2.577s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:04,20-05-2025 03:17:08,3.019s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:08,20-05-2025 03:17:13,5.444s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:13,20-05-2025 03:17:16,3.078s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:16,20-05-2025 03:17:17,0.920s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:17,20-05-2025 03:17:30,12.578s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:30,20-05-2025 03:17:30,0.762s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:30,20-05-2025 03:17:32,1.423s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Edge Chromium 136.0.3240.76,Edits user profile information.,,20-05-2025 03:17:32,20-05-2025 03:17:59,27.498s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:32,20-05-2025 03:17:32,0.358s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:32,20-05-2025 03:17:33,0.804s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:33,20-05-2025 03:17:34,0.921s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:34,20-05-2025 03:17:40,5.982s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:40,20-05-2025 03:17:41,0.886s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:41,20-05-2025 03:17:48,7.309s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:48,20-05-2025 03:17:49,0.751s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:17:49,20-05-2025 03:17:59,10.217s,PASSED
,,,,,,,
Test Cases/User Flow/Mahasiswa/TC_AddSubmission,Edge Chromium 136.0.3240.76,Creates a new submission as a student.,GenAI,20-05-2025 03:17:59,20-05-2025 03:18:41,41.793s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:00,20-05-2025 03:18:04,4.230s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/button_OK""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:04,20-05-2025 03:18:05,0.735s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/td_Belum Test""), ""Belum Test"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:05,20-05-2025 03:18:05,0.379s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/span_Silahkan tes terlebih dahulu""), ""Silahkan tes terlebih dahulu"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:05,20-05-2025 03:18:06,0.291s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:06,20-05-2025 03:18:07,1.325s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Tes Mikroskill""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:07,20-05-2025 03:18:10,2.587s,PASSED
utils.takeMikroskillTest.answarAllQuestions(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:10,20-05-2025 03:18:29,19.145s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/button_Submit Tes""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:29,20-05-2025 03:18:35,5.685s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:35,20-05-2025 03:18:36,1.090s,PASSED
"verifyElementText(findTestObject(""Page_Report - Simikro/span_MENUNGGU VALIDASI""), ""MENUNGGU VALIDASI"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:36,20-05-2025 03:18:37,1.044s,PASSED
"navigateToUrl(""http://127.0.0.1:8000/dashboard"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:37,20-05-2025 03:18:41,4.403s,PASSED
,,,,,,,
Test Cases/Common/TC_Logout,Edge Chromium 136.0.3240.76,Logs out the current user session.,,20-05-2025 03:18:41,20-05-2025 03:18:52,11.020s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:42,20-05-2025 03:18:43,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:43,20-05-2025 03:18:43,0.575s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:43,20-05-2025 03:18:47,4.059s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:47,20-05-2025 03:18:49,1.355s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:49,20-05-2025 03:18:50,1.131s,PASSED
closeBrowser(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:50,20-05-2025 03:18:52,2.299s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Edge Chromium 136.0.3240.76,Logs in as an institution administrator.,,20-05-2025 03:18:52,20-05-2025 03:19:27,34.484s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:52,20-05-2025 03:18:57,5.046s,PASSED
navigateToUrl(URL_Test_Env),Edge Chromium 136.0.3240.76,,,20-05-2025 03:18:57,20-05-2025 03:19:01,3.748s,PASSED
maximizeWindow(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:01,20-05-2025 03:19:02,0.684s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:02,20-05-2025 03:19:04,2.176s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:04,20-05-2025 03:19:06,1.826s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:06,20-05-2025 03:19:12,5.796s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:19:12,20-05-2025 03:19:14,2.046s,PASSED
