Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Regression_CheckSubmission,Edge Chromium 136.0.3240.92,,,29-05-2025 01:16:45,29-05-2025 01:19:07,2m - 22.507s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Edge Chromium 136.0.3240.92,Logs in as an institution administrator.,,29-05-2025 01:16:47,29-05-2025 01:17:58,1m - 11.518s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Edge Chromium 136.0.3240.92,,,29-05-2025 01:16:49,29-05-2025 01:16:57,8.199s,PASSED
navigateToUrl(WelcomePage_TestEnv),Edge Chromium 136.0.3240.92,,,29-05-2025 01:16:57,29-05-2025 01:17:09,11.800s,PASSED
maximizeWindow(),Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:09,29-05-2025 01:17:10,0.643s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:10,29-05-2025 01:17:12,1.857s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:12,29-05-2025 01:17:14,2.367s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:14,29-05-2025 01:17:21,7.033s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:21,29-05-2025 01:17:25,4.172s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:25,29-05-2025 01:17:27,1.523s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:27,29-05-2025 01:17:56,29.199s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:56,29-05-2025 01:17:56,0.484s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.92,,,29-05-2025 01:17:56,29-05-2025 01:17:58,1.710s,PASSED
,,,,,,,
