Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Regression_CheckSubmission,Firefox 139.0,,,29-05-2025 01:16:41,29-05-2025 01:18:54,2m - 13.723s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Firefox 139.0,Logs in as an institution administrator.,,29-05-2025 01:16:43,29-05-2025 01:17:54,1m - 11.098s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Firefox 139.0,,,29-05-2025 01:16:45,29-05-2025 01:17:05,20.359s,PASSED
navigateToUrl(WelcomePage_TestEnv),Firefox 139.0,,,29-05-2025 01:17:05,29-05-2025 01:17:09,4.318s,PASSED
maximizeWindow(),Firefox 139.0,,,29-05-2025 01:17:09,29-05-2025 01:17:10,0.925s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 139.0,,,29-05-2025 01:17:10,29-05-2025 01:17:12,1.680s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 139.0,,,29-05-2025 01:17:12,29-05-2025 01:17:14,1.677s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Firefox 139.0,,,29-05-2025 01:17:14,29-05-2025 01:17:24,10.011s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Firefox 139.0,,,29-05-2025 01:17:24,29-05-2025 01:17:25,1.178s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Firefox 139.0,,,29-05-2025 01:17:25,29-05-2025 01:17:26,1.214s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Firefox 139.0,,,29-05-2025 01:17:26,29-05-2025 01:17:32,6.058s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Firefox 139.0,,,29-05-2025 01:17:32,29-05-2025 01:17:51,18.517s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 139.0,,,29-05-2025 01:17:51,29-05-2025 01:17:54,3.264s,PASSED
,,,,,,,
