Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_EndToEnd,Firefox 138.0.4,,,20-05-2025 03:16:40,20-05-2025 03:24:35,7m - 54.985s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginMahasiswa,Firefox 138.0.4,Logs in as a student user.,,20-05-2025 03:16:42,20-05-2025 03:17:31,48.896s,PASSED
"DATA BINDING - {""(Default) Role"":""Mahasiswa"",""(Default) Email"":""mahasiswa@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Firefox 138.0.4,,,20-05-2025 03:16:46,20-05-2025 03:17:00,14.759s,PASSED
navigateToUrl(URL_Test_Env),Firefox 138.0.4,,,20-05-2025 03:17:00,20-05-2025 03:17:04,3.817s,PASSED
maximizeWindow(),Firefox 138.0.4,,,20-05-2025 03:17:04,20-05-2025 03:17:05,0.894s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 138.0.4,,,20-05-2025 03:17:05,20-05-2025 03:17:07,1.832s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:17:07,20-05-2025 03:17:09,2.279s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Firefox 138.0.4,,,20-05-2025 03:17:09,20-05-2025 03:17:16,7.030s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Firefox 138.0.4,,,20-05-2025 03:17:16,20-05-2025 03:17:17,0.988s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Firefox 138.0.4,,,20-05-2025 03:17:17,20-05-2025 03:17:18,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Firefox 138.0.4,,,20-05-2025 03:17:18,20-05-2025 03:17:24,6.068s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Firefox 138.0.4,,,20-05-2025 03:17:24,20-05-2025 03:17:30,5.687s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:17:30,20-05-2025 03:17:31,1.404s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Firefox 138.0.4,Edits user profile information.,,20-05-2025 03:17:31,20-05-2025 03:17:56,24.554s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Firefox 138.0.4,,,20-05-2025 03:17:31,20-05-2025 03:17:32,0.387s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Firefox 138.0.4,,,20-05-2025 03:17:32,20-05-2025 03:17:32,0.516s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Firefox 138.0.4,,,20-05-2025 03:17:32,20-05-2025 03:17:33,0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Firefox 138.0.4,,,20-05-2025 03:17:33,20-05-2025 03:17:40,7.287s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Firefox 138.0.4,,,20-05-2025 03:17:40,20-05-2025 03:17:41,0.568s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Firefox 138.0.4,,,20-05-2025 03:17:41,20-05-2025 03:17:47,6.941s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Firefox 138.0.4,,,20-05-2025 03:17:48,20-05-2025 03:17:48,0.808s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Firefox 138.0.4,,,20-05-2025 03:17:48,20-05-2025 03:17:56,7.460s,PASSED
,,,,,,,
Test Cases/User Flow/Mahasiswa/TC_AddSubmission,Firefox 138.0.4,Creates a new submission as a student.,GenAI,20-05-2025 03:17:56,20-05-2025 03:18:38,42.420s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Firefox 138.0.4,,,20-05-2025 03:17:57,20-05-2025 03:18:02,4.863s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/button_OK""))",Firefox 138.0.4,,,20-05-2025 03:18:02,20-05-2025 03:18:03,0.903s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/td_Belum Test""), ""Belum Test"")",Firefox 138.0.4,,,20-05-2025 03:18:03,20-05-2025 03:18:03,0.300s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/span_Silahkan tes terlebih dahulu""), ""Silahkan tes terlebih dahulu"")",Firefox 138.0.4,,,20-05-2025 03:18:03,20-05-2025 03:18:03,0.281s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:18:03,20-05-2025 03:18:04,1.034s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Tes Mikroskill""))",Firefox 138.0.4,,,20-05-2025 03:18:04,20-05-2025 03:18:07,2.603s,PASSED
utils.takeMikroskillTest.answarAllQuestions(),Firefox 138.0.4,,,20-05-2025 03:18:07,20-05-2025 03:18:27,19.934s,PASSED
