Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LoginLogoutAllRole,Chrome 136.0.7103.93,,,15-05-2025 02:32:37,15-05-2025 02:33:27,49.470s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginAdminPT,Chrome 136.0.7103.93,,,15-05-2025 02:32:38,15-05-2025 02:32:52,13.677s,PASSED
"DATA BINDING - {""(Default) Role"":""AdminPT"",""(Default) Email"":""admin1@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 136.0.7103.93,,,15-05-2025 02:32:39,15-05-2025 02:32:42,2.902s,PASSED
navigateToUrl(URL_Test_Env),Chrome 136.0.7103.93,,,15-05-2025 02:32:42,15-05-2025 02:32:43,0.984s,PASSED
maximizeWindow(),Chrome 136.0.7103.93,,,15-05-2025 02:32:43,15-05-2025 02:32:43,0.095s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/img""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:43,15-05-2025 02:32:43,0.462s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/h2_Simikro""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:43,15-05-2025 02:32:44,0.265s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Simikro adalah sistem digital inovatif yang dirancang untuk mempermudah evaluasi capaian microskill dalam program Merdeka Belajar Kampus Merdeka (MBKM). Dengan platform ini, mahasiswa dan dosen dapat mengakses, menilai""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:44,15-05-2025 02:32:44,0.260s,PASSED
"verifyElementVisible(findTestObject(""Page_Welcome - Simikro/p_Mahasiswa dapat memantau hasil evaluasi secara real-time, memahami standar penilaian, serta mendapatkan umpan balik langsung dari dosen. Sementara itu, dosen dapat melakukan penilaian dengan lebih sistematis melalui fo""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:44,15-05-2025 02:32:44,0.267s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 136.0.7103.93,,,15-05-2025 02:32:44,15-05-2025 02:32:45,0.926s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:45,15-05-2025 02:32:46,1.292s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Chrome 136.0.7103.93,,,15-05-2025 02:32:46,15-05-2025 02:32:47,0.791s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Chrome 136.0.7103.93,,,15-05-2025 02:32:47,15-05-2025 02:32:48,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Chrome 136.0.7103.93,,,15-05-2025 02:32:48,15-05-2025 02:32:50,2.422s,PASSED
